Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Fwd Header Length,Bwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.20.32.198,35.174.127.31,62015,443,<member 'name' of 'Packet' objects>,0.30831003189086914,2,1,348,316,294,54,174.0,120.0,316,316,316.0,0.0,2153.6762716661538,9.730465082829008,0.15415501594543457,0.11155009269714355,0.2657051086425781,0.042604923248291016,0.042604923248291016,0.042604923248291016,0.0,0.042604923248291016,0.042604923248291016,0.2657051086425781,0.2657051086425781,0.0,0.2657051086425781,0.2657051086425781,0,0,0,2,3,0,0,0,320,302,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,48.218.107.32,61300,443,<member 'name' of 'Packet' objects>,0.5663979053497314,3,2,264,160,105,54,88.0,24.041630560342615,94,66,80.0,14.0,748.5903390447647,8.827716262320338,0.14159947633743286,0.12204021577058699,0.3100299835205078,0.002009868621826172,0.36202502250671387,0.18101251125335693,0.12901747226715088,0.3100299835205078,0.051995038986206055,0.20437288284301758,0.10218644142150879,0.10017657279968262,0.2023630142211914,0.002009868621826172,0,0,0,3,5,0,0,0,222,132,513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,142.250.182.99,62743,443,<member 'name' of 'Packet' objects>,0.2299060821533203,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,526.301865817135,8.699204393671653,0.2299060821533203,0.0,0.2299060821533203,0.2299060821533203,0.0,0.0,0.0,0.0,0.0,0.2299060821533203,0.2299060821533203,0.0,0.2299060821533203,0.2299060821533203,0,0,0,0,2,0,0,0,41,52,509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,35.174.127.31,62736,443,<member 'name' of 'Packet' objects>,0.3745582103729248,2,1,348,318,294,54,174.0,120.0,318,318,318.0,0.0,1778.0947835502106,8.009435961937886,0.1872791051864624,0.1339329481124878,0.3212120532989502,0.05334615707397461,0.05334615707397461,0.05334615707397461,0.0,0.05334615707397461,0.05334615707397461,0.3212120532989502,0.3212120532989502,0.0,0.3212120532989502,0.3212120532989502,0,0,0,2,3,0,0,0,320,304,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.30.83,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,346,0,346,346,346.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,332,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.0.1,10.20.32.198,53,63371,<member 'name' of 'Packet' objects>,0.16275596618652344,1,1,91,75,91,91,91.0,0.0,75,75,75.0,0.0,1019.9318887625833,12.288336009187752,0.16275596618652344,0.0,0.16275596618652344,0.16275596618652344,0.16275596618652344,0.16275596618652344,0.0,0.16275596618652344,0.16275596618652344,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,77,61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.0.1,10.20.32.198,53,55134,<member 'name' of 'Packet' objects>,0.16876006126403809,1,1,132,75,132,132,132.0,0.0,75,75,75.0,0.0,1226.5935343323476,11.851145259249737,0.16876006126403809,0.0,0.16876006126403809,0.16876006126403809,0.16876006126403809,0.16876006126403809,0.0,0.16876006126403809,0.16876006126403809,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,118,61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,142.250.193.99,49666,443,<member 'name' of 'Packet' objects>,0.7895970344543457,16,18,9114,10595,1292,73,569.625,523.0769392498584,1292,64,588.6111111111111,537.7868370449071,24960.833361817255,43.05993882499298,0.0239271828622529,0.05475122173345027,0.24783110618591309,0.0009970664978027344,0.4603450298309326,0.03068966865539551,0.06581858970727111,0.24783110618591309,0.001001119613647461,0.3292520046234131,0.01829177803463406,0.04261264003233107,0.16271710395812988,0.0009970664978027344,0,0,0,0,0,0,0,0,8890,10343,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.0.1,10.20.32.198,53,62168,<member 'name' of 'Packet' objects>,0.05353999137878418,1,1,91,75,91,91,91.0,0.0,75,75,75.0,0.0,3100.4861174815087,37.355254427488056,0.05353999137878418,0.0,0.05353999137878418,0.05353999137878418,0.05353999137878418,0.05353999137878418,0.0,0.05353999137878418,0.05353999137878418,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,77,61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.0.1,10.20.32.198,53,54443,<member 'name' of 'Packet' objects>,0.05453801155090332,1,1,125,75,125,125,125.0,0.0,75,75,75.0,0.0,3667.167069582818,36.671670695828176,0.05453801155090332,0.0,0.05453801155090332,0.05453801155090332,0.05453801155090332,0.05453801155090332,0.0,0.05453801155090332,0.05453801155090332,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,111,61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
